K,R0,T0,M0,Gamma,gated,negative_T_event,time_reached,minimum,budget_error,Rn_scaled_error,R_final,T_final,M_final,D_final
0.5,0.01,0.01,0.1,1.0,False,False,20.0,0.0,1.1102230246251565e-16,2.42861286636753e-17,0.011999181809922956,2.0929458323549945e-05,3.409357779497798e-05,0.10794579515395848
0.5,0.01,0.01,0.1,1.0,True,False,20.0,0.0,1.1102230246251565e-16,1.734723475976807e-17,0.011999060564602312,2.3355578099005636e-05,3.9146206182104485e-05,0.1079384376511165
0.5,0.22,0.01,0.0,0.0,False,False,20.0,0.0,2.7755575615628914e-16,2.7755575615628914e-16,0.2172249379360243,0.0063875310319881085,0.00638753103198788,0.0
0.5,0.22,0.01,0.0,0.0,True,False,20.0,0.0,7.494005416219807e-16,7.494005416219807e-16,0.2162153075017024,0.005032554312458312,0.008752138185838726,0.0
0.5,0.22,0.01,0.0,1.0,False,False,20.0,0.0,3.885780586188048e-16,3.608224830031759e-16,0.21999981678863775,2.1610618004430126e-07,4.1638980580168494e-07,0.009999550715376128
0.5,0.22,0.01,0.0,1.0,True,False,20.0,0.0,1.6653345369377348e-16,1.6653345369377348e-16,0.2199940251328754,3.405161469469838e-06,1.3579612266688553e-05,0.009988990093388423
0.5,0.22,0.01,0.1,0.0,False,False,20.0,0.0,1.6653345369377348e-16,1.6653345369377348e-16,0.24283297144376517,0.043583514278115985,0.043583514278118726,0.0
0.5,0.22,0.01,0.1,0.0,True,False,20.0,0.0,3.3306690738754696e-16,3.3306690738754696e-16,0.23586930583293925,0.03449874233737842,0.05963195182968252,0.0
0.5,0.22,0.01,0.1,1.0,False,False,20.0,0.0,1.4988010832439613e-15,1.5543122344752192e-15,0.2639983378033275,1.5439337427704717e-06,3.1481195768809916e-06,0.0659969701433514
0.5,0.22,0.01,0.1,1.0,True,False,20.0,0.0,5.551115123125783e-16,6.661338147750939e-16,0.26385646458591727,5.115949502612704e-05,0.0002719952575501755,0.06582038066150651
0.5,1.0,0.01,0.0,0.0,False,False,20.0,0.0,6.661338147750939e-16,8.881784197001252e-16,0.9049876957829083,0.052518604766904044,0.05249369945018778,0.0
0.5,1.0,0.01,0.0,0.0,True,False,20.0,0.0,2.220446049250313e-15,3.6637359812630166e-15,0.6109877909066431,0.08066525119743753,0.3183469578959172,0.0
0.5,1.0,0.01,0.0,1.0,False,True,2.43457555550138,-9.999999998903844e-10,6.661338147750939e-16,6.661338147750939e-16,0.9942054661413414,-9.999999998903844e-10,0.002914153088067659,0.012880381770591405
0.5,1.0,0.01,0.0,1.0,True,False,20.0,0.0,8.881784197001252e-16,1.1102230246251565e-15,0.9049876957829073,2.490531671629103e-05,0.05249369945018789,0.05249369945018789
0.5,1.0,0.01,0.1,0.0,False,True,0.1610901496310001,-9.999999991483835e-10,2.220446049250313e-16,1.8503717077085943e-16,1.024146072344786,-9.999999991483835e-10,0.08585392865521424,0.0
0.5,1.0,0.01,0.1,0.0,True,False,20.0,0.0,1.1102230246251565e-15,1.4802973661668755e-15,0.7101873976486853,0.05496516914354146,0.34484743320777306,0.0
0.5,1.0,0.01,0.1,1.0,False,True,0.14880220343674624,-9.99999985948222e-10,4.440892098500626e-16,3.7007434154171886e-16,1.0224275903298148,-9.99999985948222e-10,0.08683862375667288,0.0007337869135120682
0.5,1.0,0.01,0.1,1.0,True,False,20.0,0.0,6.661338147750939e-16,9.251858538542972e-16,0.9600041418420421,1.251158182350354e-06,0.12499730349988791,0.024997303499888077
2.0,0.01,0.01,0.0,0.0,False,False,20.0,0.0,1.3877787807814457e-17,2.2551405187698492e-17,0.00997500015624807,0.005012499921875981,0.005012499921875964,0.0
2.0,0.01,0.01,0.0,0.0,True,False,20.0,0.0,3.122502256758253e-17,2.949029909160572e-17,0.009974937815229384,0.005000031405655284,0.005025030779115364,0.0
2.0,0.01,0.01,0.0,1.0,False,False,20.0,0.0,1.734723475976807e-17,2.7755575615628914e-17,0.00999998939186018,1.3094227403080881e-06,2.1216302119877537e-06,0.009996579555187521
2.0,0.01,0.01,0.0,1.0,True,False,20.0,0.0,1.734723475976807e-17,1.734723475976807e-17,0.009999989082824146,1.3396789208477119e-06,2.1834375574801647e-06,0.009996487800697543
2.0,0.01,0.01,0.1,0.0,False,False,20.0,0.0,8.326672684688674e-17,1.5612511283791264e-17,0.010219523948966863,0.054890238025516534,0.054890238025516666,0.0
2.0,0.01,0.01,0.1,0.0,True,False,20.0,0.0,9.71445146547012e-17,1.3877787807814457e-17,0.010218841881606114,0.05475376428035889,0.05502739383803493,0.0
2.0,0.01,0.01,0.1,1.0,False,False,20.0,0.0,1.6653345369377348e-16,1.214306433183765e-17,0.010499809413603694,2.2403737638952045e-05,3.63028296592449e-05,0.10944148401909823
2.0,0.01,0.01,0.1,1.0,True,False,20.0,0.0,9.71445146547012e-17,1.5612511283791264e-17,0.010499803470342389,2.2960369497060956e-05,3.743492116918767e-05,0.10943980123899133
2.0,0.22,0.01,0.0,0.0,False,False,20.0,0.0,3.0531133177191805e-16,3.0531133177191805e-16,0.21941961394405643,0.0052901930279717875,0.00529019302797177,0.0
2.0,0.22,0.01,0.0,0.0,True,False,20.0,0.0,5.551115123125783e-16,5.551115123125783e-16,0.2193840719999444,0.005000862198411946,0.0056150658016442204,0.0
2.0,0.22,0.01,0.0,1.0,False,False,20.0,0.0,1.942890293094024e-16,2.220446049250313e-16,0.2199998297488742,9.256783883186616e-07,1.5477387038525606e-06,0.009997696834033514
2.0,0.22,0.01,0.0,1.0,True,False,20.0,0.0,1.942890293094024e-16,1.942890293094024e-16,0.2199996652226797,1.5851223491179808e-06,3.0434348158846676e-06,0.009995706220155323
2.0,0.22,0.01,0.1,0.0,False,False,20.0,0.0,9.43689570931383e-16,8.326672684688674e-16,0.22509665189216113,0.05245167405391892,0.05245167405391906,0.0
2.0,0.22,0.01,0.1,0.0,True,False,20.0,0.0,2.220446049250313e-16,3.608224830031759e-16,0.22474411558852975,0.049584710151016516,0.05567117426045372,0.0
2.0,0.22,0.01,0.1,1.0,False,False,20.0,0.0,1.6653345369377348e-16,2.498001805406602e-16,0.23099720635959434,1.4440564332615991e-05,2.418765533881915e-05,0.09896416542073425
2.0,0.22,0.01,0.1,1.0,True,False,20.0,0.0,3.885780586188048e-16,1.3877787807814457e-16,0.23099422312956627,2.5811382658064517e-05,5.0017445072530106e-05,0.09892994804270283
2.0,1.0,0.01,0.0,0.0,False,False,20.0,0.0,1.3322676295501878e-15,1.3322676295501878e-15,0.9966813997036318,0.0066593001481851655,0.00665930014818429,0.0
2.0,1.0,0.01,0.0,0.0,True,False,20.0,0.0,1.1102230246251565e-15,1.1102230246251565e-15,0.9950612209779925,0.005012195776900275,0.009926583245108289,0.0
2.0,1.0,0.01,0.0,1.0,False,False,20.0,0.0,8.881784197001252e-16,6.661338147750939e-16,0.9999998485589504,1.514410961717336e-07,3.028821464746343e-07,0.009999697117807656
2.0,1.0,0.01,0.0,1.0,True,False,20.0,0.0,2.4424906541753444e-15,2.55351295663786e-15,0.9999899338727887,4.169749110515096e-06,2.0132457073877556e-05,0.009985763921024614
2.0,1.0,0.01,0.1,0.0,False,False,20.0,0.0,3.774758283725532e-15,3.806478941571965e-15,1.0292133176620013,0.04039334116899683,0.040393341169005864,0.0
2.0,1.0,0.01,0.1,0.0,True,False,20.0,0.0,1.5543122344752192e-15,1.2688263138573218e-15,1.0192868848677137,0.030449188286466273,0.0602639268458191,0.0
2.0,1.0,0.01,0.1,1.0,False,False,20.0,0.0,4.6629367034256575e-15,4.440892098500626e-15,1.0499984717320743,1.4306849564894463e-06,2.9109907537101253e-06,0.05999718659221112
2.0,1.0,0.01,0.1,1.0,True,False,20.0,0.0,2.886579864025407e-15,2.749123680024197e-15,1.0498444832503673,5.622859638727381e-05,0.0002962662606046837,0.05980302189264258
