R,T,layers,x,y,z,potential_per_GM,ax_per_GM,ay_per_GM,az_per_GM
3.0,0.1,512,0.1,0.0,0.0,-0.6436868403819493,-0.02124334455017128,-0.014004687902099229,0.0
3.0,0.1,512,1.0,0.0,0.0,-0.5409103057094499,-0.13133259393494795,-0.025283244771774106,1.0842021724855044e-19
3.0,0.1,512,1.0,0.0,1.0,-0.45852632893599515,-0.06423553970632766,0.0016415283679030142,-0.10102268748155566
3.0,0.1,512,0.0,1.0,1.0,-0.4703932264569829,-0.008876994415016045,-0.0497183916709923,-0.10015734982951459
3.0,0.1,512,3.0,0.0,0.0,-0.3548326845060096,-0.09372907460337751,-0.0035738374257060787,0.0
3.0,0.25,512,0.1,0.0,0.0,-0.6331960805371493,-0.022961111643095892,-0.010137192516108822,-5.421010862427522e-20
3.0,0.25,512,1.0,0.0,0.0,-0.5485598028892388,-0.11727816416071818,-0.01990863115832152,1.3552527156068805e-20
3.0,0.25,512,1.0,0.0,1.0,-0.4669608300606655,-0.062343817764366184,-0.002189671783221834,-0.10008229801827791
3.0,0.25,512,0.0,1.0,1.0,-0.46956094215108907,-0.007843504975072833,-0.05551440367971528,-0.09265396611200344
3.0,0.25,512,3.0,0.0,0.0,-0.35302248477290676,-0.10759953040875589,-0.003625815821093515,0.0
