CID,z,width,bands,err
1259352,0.22034,1.2100116015625,3,0.08301920350122358
1259412,0.30581,1.4093566523437502,2,0.12330275000441127
1259500,0.56288,1.635326,3,0.10375529878932538
1259511,0.32816,1.357862015625,4,0.07820753334610273
1259538,0.51363,1.5215134895833333,3,0.09847378032440895
1259561,0.56882,1.6258122890625,3,0.1170282085937791
1259585,0.5653,1.6588511328125,3,0.11257698773304815
1259615,0.32116,1.286582765625,1,0.15818223300328743
1259667,0.65939,1.609370626953125,3,0.1399076275730143
1259771,0.53341,1.7636211627604166,3,0.12965205840451302
1260000,0.55172,1.6256691562500007,3,0.11349581823045447
1260030,0.45918,1.535558953125,3,0.10555285595301467
1260050,0.27372,1.1861517499999998,4,0.07256623596237326
1260058,0.3905,1.377101953125,3,0.10527033654554428
1260105,0.6955,1.736397314453125,3,0.13002435900354806
1260107,0.431,1.24653515625,3,0.10068617253047035
1260113,0.35583,1.2275954926757813,4,0.08790379854572332
1260159,0.43153,1.226819346028645,3,0.10354801312881588
1260241,0.33442,1.2566874287109375,4,0.08019779814762601
1260427,0.81895,1.8031999772135416,3,0.14998276627839877
1260459,0.85824,1.8771127499999998,2,0.16424841969744874
1260461,0.86005,1.7038348632812497,2,0.16569775778319462
1260463,0.62154,1.410745078450521,3,0.12976153296413953
1260522,0.74274,1.9199639505208335,3,0.1291511943751681
1260551,0.55292,1.6212646562500002,3,0.1125447190972307
1260556,0.27487,1.3792624311523436,4,0.08092199006440022
1260568,0.53864,1.25122184765625,3,0.11769244838131841
1260605,0.55594,1.7048989694010421,3,0.11606170762217345
1260639,0.59196,1.3435271796874997,3,0.12925738310347143
1260645,0.67462,2.0153223111979166,3,0.21736247530813957
1260889,0.52993,1.7349167148437505,3,0.10893651384871712
1260949,0.4167,1.5441661067708334,3,0.11692367656895401
1260954,0.69994,1.77730055078125,3,0.13912935301980128
1261144,0.61126,1.597623033854167,3,0.13105229717644534
1261163,0.61917,2.0751940507812514,2,0.2177204312511797
1261173,0.47431,1.5026251985677084,3,0.10673234907946849
1261191,0.66212,2.0696964960937496,3,0.13492698335084227
1261193,0.19293,1.2981656868489588,3,0.08921901662797178
1261233,0.53225,1.410148828125,3,0.11563207314561397
1261236,0.5985,1.679673828125,3,0.11879617327665198
1261259,0.52786,1.60395458984375,3,0.10868366805933677
1261456,0.62298,1.6512976197916671,3,0.1682700733459068
1261503,0.35321,1.3373520703125,4,0.08737636262338003
1261579,0.3232,1.296387109375,4,0.08095589176003715
1261587,0.65455,1.8967002864583336,3,0.13703586618039118
