radius_kpc,baryon_projected_mass_Msun,field_equivalent_projected_mass_Msun,baryon_surface_density_Msun_kpc2,field_equivalent_surface_density_Msun_kpc2,sigma_Msun_kpc2,delta_sigma_Msun_kpc2,alpha_rad,theta_arcsec,beta_arcsec,kappa,gamma_t,reduced_shear_t,lambda_t,lambda_r,signed_magnification
12.098177659605764,60834495863.75531,236277256749.03662,116993371.03360651,511310005.41102874,628303376.4446353,17841705.327751637,4.700884141989081e-06,12.477141339560584,11.7014397750999,0.06045314831045341,0.0017166663410172192,0.0018271215937025517,0.9378301853485294,0.9412635180305637,1.13282954343305
12.406706915659077,63600914976.728714,248418767771.174,115963182.89332466,511050037.87435484,627013220.7676795,18223495.42536378,4.813989539236913e-06,12.79533497528639,12.000969680569005,0.060329014053967435,0.0017534008458117245,0.0018659731672426314,0.9379175851002208,0.9414243867918444,1.1325304231685485
12.723104323802648,66485817307.54779,261180786066.89157,115005709.21240139,510776938.0196897,625782647.2320911,18529219.470237374,4.929680413336976e-06,13.121643225334571,12.30818756605541,0.06021061258225356,0.0017828165416677595,0.0018970383849155753,0.9380065708760786,0.9415722039594142,1.1322452047375597
13.047570538645738,69491627102.79796,274594666311.25897,113844136.73119467,510490058.5225184,624334195.2537131,19031934.20339489,5.0479773058127585e-06,13.456273029625393,12.623296981884696,0.060071247610565925,0.0018311859909828218,0.001948217868990265,0.9380975663984512,0.9417599383804169,1.1319096922137009
13.380311331916804,72620403503.66235,288693310209.6218,112671823.67259584,510188721.8485043,622860545.5211002,19534430.126859188,5.168897274496499e-06,13.799436605487106,12.946507330640745,0.05992945819929867,0.0018795343871962588,0.0019993546267240946,0.938191007413505,0.9419500761878976,1.131568497952313
13.721537722960928,75876966939.52316,303511238930.1603,111535409.38522647,509872219.0253796,621407628.410606,19991529.253456116,5.2924981649610786e-06,14.15135158224109,13.278026696440246,0.05978966360825172,0.0019235148627574587,0.002045834626897791,0.9382868215289908,0.9421338512545057,1.1312322425421764
14.071466112565231,79267514516.92972,319084668519.634,110333065.50302303,509539808.3850649,619872873.888088,20508410.044984937,5.41885495650533e-06,14.512241139219208,13.61806588614264,0.05964199490830785,0.0019732473205486827,0.002098400087907239,0.9383847577711435,0.9423312524122409,1.1308772316922129
14.430318420197036,82790910823.27322,335451588381.5119,108981299.03362668,509190714.2778046,618172013.3114313,21160012.03373015,5.5479421119871346e-06,14.882334147300842,13.966857984558237,0.05947834406613369,0.002035942179659426,0.0021646946317656988,0.9384857137542069,0.9425575981135257,1.1304840399747154
14.798322224742,86450095719.42107,352651842892.7205,107603181.57398643,508824125.7605023,616427307.3344887,21822250.50816846,5.679793536576029e-06,15.261865314059486,14.324632104505959,0.059310474573247826,0.0020996604441364517,0.002232044035128298,0.9385898649826158,0.9427891858708887,1.1300809325753622
15.175710908831267,90250136027.23221,370727216231.4833,106277393.37189353,508439195.26189774,614716588.6337912,22418651.57988608,5.814471130517774e-06,15.651075332610825,14.691618724827745,0.05914587521693695,0.002157044064522321,0.002292644531924309,0.9386970807185407,0.9430111688475854,1.1296858689859561
15.562723806849366,94191617231.88812,389721520484.132,104650298.4700778,508035037.2277264,612685335.6978042,23298855.004717946,5.95198019040739e-06,16.05021103425683,15.068063802824653,0.05895043518016661,0.0022417341524314993,0.0023821637416735703,0.9388078306674019,0.9432912989722648,1.1292171570782386
15.959606356716533,98270607560.77914,409680687093.2345,102909900.05857143,507610726.74957275,610520626.8081442,24266116.227045417,6.09227600696905e-06,16.459525545022515,15.454227842081771,0.058742154479375086,0.002334800636427174,0.0024805112090574483,0.9389230448841978,0.9435926461570521,1.1287180078206815
16.3666102555419,102485081053.29199,430652861702.7924,100991795.59164497,507165298.18173677,608157093.7733817,25380277.26411414,6.235345541151693e-06,16.879278446184802,15.850372575473907,0.05851474361633678,0.0024420013056274284,0.002593775408663747,0.9390432550780358,0.9439272576892906,1.1281734501601308
16.783993619246058,106827991862.45682,452688502448.5629,98909527.22724968,506697743.75114733,605607270.978397,26618812.960389256,6.381125151132948e-06,17.30973593889513,16.256774705807004,0.05826940860562454,0.002561168868530551,0.002719640725208205,0.9391694225258449,0.944291760262906,1.1275864684634738
17.212021146254475,111302121085.1478,475840481732.5893,96805420.10450758,506207012.1660913,603012432.2705989,27843191.73996377,6.529672463030977e-06,17.751171013000384,16.673697713935884,0.058019742321588505,0.0026789743025370195,0.0028439813687174014,0.9393012833758745,0.9446592319809486,1.126989607093939
17.65096428536529,115898535591.7863,500164191510.6975,94332833.36184561,505692007.23039365,600024840.5922393,29391753.96277809,6.680918472272627e-06,18.203863620169003,17.1014329381009,0.057732286723554065,0.0028279715309993255,0.0030012399779314573,0.9394397417454466,0.9450956848074453,1.1263031306748275
18.10110140789824,120578580448.99223,525717652109.9412,90103279.39189678,505151586.47059286,595254865.8624897,32618048.778684735,6.8344929072582275e-06,18.66810085143229,17.540328568533095,0.05727333647661062,0.003138394308134342,0.003329060723078272,0.9395882692152551,0.9458650578315237,1.1252090900955702
18.562717984233625,125332143173.75256,552561624579.5558,88722442.7736513,504584559.7846822,593307002.5583335,32915450.664862752,6.9903633247580856e-06,19.1441771192533,17.99068437121271,0.05708591989788558,0.003167009275054725,0.00335874640318421,0.9397470708270597,0.9460810893771692,1.1247620576322284
19.03610676485346,130256779845.23288,580759726563.8916,87449021.53719625,503989688.1220906,591438709.6592869,33120399.082616687,7.149591448358031e-06,19.632394344238936,18.452627069779073,0.056906159304599344,0.003186728693346858,0.003379015486939336,0.9399071120020538,0.9462805693887476,1.124333476274172
19.52156796599961,135365184897.5047,610378551668.8342,86336716.61281481,503365682.2058164,589702398.8186312,33186150.90330243,7.3123099475308635e-06,20.13306214661362,18.92644439242216,0.05673909756229713,0.003193055103034628,0.003385123982964524,0.9400678473346682,0.9464539575407375,1.1239352946623087
20.019409460066427,140676762811.53107,641487792274.2346,85444919.03510545,502711201.30891556,588156120.344021,33064315.52110982,7.47870742161944e-06,20.646498042575832,19.41242273421496,0.056590320068081144,0.0031813325296643734,0.0033721643919256312,0.9402283474022545,0.9465910124615832,1.1235807307679748
20.52994697084904,146207074260.21182,674160365723.914,84690917.45730306,502024852.0990341,586715769.5563371,32843540.160059333,7.648922520447296e-06,21.173027645662323,19.91086482983105,0.056451734564562685,0.003160090298370945,0.003349155961738319,0.9403881751370664,0.9467083557338083,1.1232505250469937
21.05350427377067,151985824152.4422,708472543801.4363,84410242.47324723,501305187.5661972,585715430.0394444,32203078.904985428,7.823212803890804e-06,21.712984873247393,20.422062096214393,0.05635548540302272,0.0030984673615992633,0.0032835112308394997,0.940546047235378,0.9467429819585765,1.1230209107967692
21.590413401216345,158084228760.7359,744504085374.3458,85880989.8318356,500550706.0508009,586431695.8826365,29904846.413303256,8.002181962205041e-06,22.26671215830845,20.946257350299714,0.056424401991523696,0.0028773394878995303,0.003049400062880476,0.9406982585205768,0.9464529374963758,1.1231832972538345
22.14101485310292,164591564169.3531,782338372061.4207,85336118.01764515,499759850.3905447,585095968.4081899,29759340.567943692,8.186532636876771e-06,22.834560666591962,21.483685813665517,0.05629588297643897,0.0028633394255421782,0.003034149553753288,0.9408407775980189,0.9465674564491032,1.1228772908772917
22.7056578128192,171320985910.5398,822062546746.9783,83857419.29750383,498931007.2070359,582788426.5045397,30548209.276227593,8.374570484838189e-06,23.416890519317683,22.034987194206902,0.056073859383754615,0.0029392416072067467,0.003113847027573421,0.9409868990090386,0.9468653822234521,1.122349672515568
23.284700368672887,178273029267.22348,863767654733.0388,82337263.20279133,498062506.35489035,580399769.5576817,31377722.98244512,8.566308207260127e-06,24.01407102156221,22.600528701156833,0.05584403118596849,0.0030190545080879833,0.0031976226469025695,0.9411369143059435,0.9471750233221196,1.121803923296475
23.878509740985002,185444970153.73923,907548787284.3424,80732184.0232932,497152620.55841696,577884804.5817101,32288735.747526646,8.76173546563222e-06,24.626480896466912,23.18069076363335,0.05560205007240463,0.0031067089627112156,0.003289618494988685,0.9412912409648841,0.9475046588903067,1.1212297911509939
24.48746251497558,192851148830.8419,953505227282.671,79358544.17637354,496199565.26336503,575558109.4397385,32972193.752875805,8.960980679813502e-06,25.254508525418554,23.77584057222537,0.0553781836222723,0.0031724688960656088,0.0033584539770961925,0.9414493474816621,0.9477942852737933,1.1206989252430102
25.11194487958858,200507561665.54944,1001740596665.8439,78017333.31255576,495201498.7337617,573218832.0463175,33634231.8115741,9.164176506416602e-06,25.89855219435516,24.38635452295854,0.05515310655201366,0.0032361678772427046,0.0034250711937392373,0.9416107255707437,0.948083061325229,1.120165559586037
25.752352872407208,208424040004.91382,1052363005282.987,76713430.95836708,494156522.4265571,570869953.3849242,34273076.999201536,9.371400476348749e-06,26.55902034635308,25.012628265391175,0.05492710568140878,0.003297635321669949,0.0034892920339732983,0.9417752589969213,0.9483705296402611,1.119630377186893
26.409092630815167,216612373715.08185,1105485200751.6194,75502363.8118651,493062681.679606,568565045.4914712,34836858.2021271,9.582739953125798e-06,27.236331840655602,25.655066242751648,0.05470533552395185,0.0033518803726323774,0.003545857708284259,0.9419427841034158,0.9486465448486805,1.1191055440441562
27.082580649563102,225095733415.57584,1161224718853.73,74448585.20139559,491917966.7514763,566366551.9528719,35269243.44374442,9.798357017227283e-06,27.930916218307434,26.31407125088574,0.054493804182674355,0.0033934829648174705,0.003589064756877702,0.9421127128525082,0.9488996787821431,1.1186052059396858
27.773244044903397,233905493847.70874,1219704033957.7776,73664481.44123307,490720314.2546217,564384795.6958548,35467972.74772799,1.0018456685285782e-05,28.64321397456327,26.990049954875374,0.05430312654283967,0.0034126040017842525,0.0036085600973902784,0.9422842694553761,0.9491094774589446,1.118154327200183
28.48152082546114,243129023986.65112,1281050708901.8093,73746763.43543327,489467609.0266136,563214372.4620469,34866562.54561913,1.024360164457401e-05,29.373676838243508,27.683361233476038,0.054190512522301094,0.0033547384204320723,0.00354694942781611,0.9424547490572668,0.949164225898131,1.1178875812582874
