n,R,T,x,y,z,potential_per_GM,ax_per_GM,ay_per_GM,az_per_GM
12,1.0,0.1,1.0,0.0,1.0,-0.6989819436658129,-0.3046751608058562,0.0010392915552146463,-0.36991776802459786
12,1.0,0.1,0.0,1.0,1.0,-0.6882312487543595,0.0016892970875461283,-0.3046233095012822,-0.34331101185903085
12,1.0,0.1,3.0,0.0,0.0,-0.33703509989278646,-0.11486929050618797,0.00013104987160662108,-2.5609922787937836e-21
12,1.0,0.25,0.1,0.0,0.0,-1.7089095852456098,-0.19760960757372725,-0.015515434057074652,1.567882331598257e-18
12,1.0,0.25,1.0,0.0,0.0,-1.092784055838694,-0.8523175555750606,-0.0022328078842108303,8.173375707759319e-19
12,1.0,0.25,1.0,0.0,1.0,-0.6966440996999097,-0.30263869032292795,0.00018131002021027918,-0.3657722213972898
12,1.0,0.25,0.0,1.0,1.0,-0.6902557653772828,0.0003846996821410616,-0.3040679010527398,-0.3502793275363443
12,1.0,0.25,3.0,0.0,0.0,-0.33656421199541314,-0.11436947884197478,-1.349638952766283e-06,-1.6421211600453602e-21
12,3.0,0.05,0.1,0.0,0.0,-0.6606163230628576,-0.05631594824734163,-0.016166201002996303,-1.8876494523242556e-18
12,3.0,0.05,1.0,0.0,0.0,-0.5405624617190359,-0.14426921193170594,-0.04775686286039143,-1.0661874143927177e-19
12,3.0,0.05,1.0,0.0,1.0,-0.46090238486835694,-0.06230228049702412,-0.006514340779681582,-0.09901839909913392
12,3.0,0.05,0.0,1.0,1.0,-0.4630117133704719,-0.008253521079273199,-0.06771041826493901,-0.09185241951809447
12,3.0,0.05,3.0,0.0,0.0,-0.3626553988816377,0.09337285841381024,0.01885271526143321,1.1306034970368403e-19
12,3.0,0.1,0.1,0.0,0.0,-0.638835351378329,-0.0284196662314426,-0.018001991633387962,5.286972227349165e-19
12,3.0,0.1,1.0,0.0,0.0,-0.5380197954334912,-0.12627073370125247,-0.02820222332475726,5.836557392193156e-19
12,3.0,0.1,1.0,0.0,1.0,-0.45707581596127583,-0.06358212105468478,0.003243387730193649,-0.1013398301834698
12,3.0,0.1,0.0,1.0,1.0,-0.4689445402193707,-0.008755155406362134,-0.05037577955971015,-0.10056511449498448
12,3.0,0.1,3.0,0.0,0.0,-0.35688658703443005,-0.015527241401144224,0.011956024981097811,1.4624112661206068e-19
12,3.0,0.25,0.1,0.0,0.0,-0.6072295899274475,-0.04657875125292345,-0.01393076477320641,6.610385960214371e-19
12,3.0,0.25,1.0,0.0,0.0,-0.5225300863658305,-0.11820527508319632,-0.01484108556574025,-2.582581830473115e-19
12,3.0,0.25,1.0,0.0,1.0,-0.4545425027008221,-0.0670202073100001,0.010561025278677057,-0.08655315693206675
12,3.0,0.25,0.0,1.0,1.0,-0.45459633004924377,-0.009084280190695602,-0.05212394360408542,-0.08875077949660426
12,3.0,0.25,3.0,0.0,0.0,-0.35111834294054517,-0.06507055299909906,-0.0007834684811903336,-2.3793599149297605e-19
