name,ra_deg,dec_deg,distance_mpc,method,status,inside_nominal_11mpc,exposure
UGC12894,0.09375,39.495555555555555,8.47,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
And XVII,9.279166666666667,44.32222222222222,0.74,HB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
And XXVII,9.362916666666667,45.386944444444445,0.83,HB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC0185,9.741666666666665,48.336111111111116,0.61,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC0205,10.09375,41.686388888888885,0.82,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
And IV,10.625416666666666,40.575833333333335,6.31,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
MESSIER032,10.675416666666667,40.86638888888889,0.49,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
MESSIER031,10.685416666666667,41.26916666666666,0.77,Cep,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
DDO226,10.765833333333333,-22.25027777777778,4.92,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
And I,11.416666666666666,38.03722222222222,0.73,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
And XI,11.583333333333334,33.80138888888889,0.73,RR,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC0247,11.784583333333334,-20.76,3.65,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
And XII,11.862499999999999,34.374722222222225,0.83,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC0253,11.892916666666666,-25.292222222222225,3.94,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KDG002,12.337916666666667,-18.074444444444445,3.4,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
DDO006,12.455416666666666,-21.016111111111112,3.34,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO540-032,12.602500000000001,-19.90694444444444,3.42,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
Bol520,12.676666666666668,32.91638888888889,0.63,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
And XIV,12.895833333333332,29.696944444444444,0.73,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
And XIII,12.9625,33.004444444444445,0.84,RR,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
SMC,13.158333333333333,-72.80027777777778,0.06,Cep,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
And IX,13.22,43.2,0.79,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC0300,13.722916666666666,-37.6825,2.15,Cep,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
And XVI,14.874166666666667,32.376666666666665,0.52,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
Sculptor,15.039166666666667,-33.70916666666667,0.09,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LGS 3,15.979166666666666,21.884999999999998,0.65,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
IC1613,16.199166666666667,2.1333333333333333,0.73,Cep,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
And X,16.640416666666667,44.80444444444444,0.63,HB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC00685,16.842916666666667,16.683888888888887,4.51,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KKH5,16.885416666666668,51.44027777777777,4.27,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
AM0106-382,17.09166666666667,-38.20916666666667,8.2,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC0404,17.362083333333334,35.7175,3.05,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
And V,17.571250000000003,47.628055555555555,0.81,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
And XV,18.577916666666667,38.1175,0.76,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
And II,19.124166666666667,33.41916666666666,0.65,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
And XXIV,19.625,46.36611111111111,0.6,HB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
And XXII,21.916666666666664,28.090277777777775,0.79,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC01056,22.19666666666667,16.688055555555557,7.3,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
And XXIII,22.340833333333332,38.71888888888889,0.73,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC01104,23.176249999999996,18.315833333333334,7.55,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
MESSIER033,23.46166666666667,30.660277777777775,0.85,Cep,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KKH6,23.715,52.09166666666667,3.73,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC0625,23.770833333333336,-41.436388888888885,3.89,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC0628,24.172083333333337,15.786666666666667,7.31,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC01171,24.923333333333332,15.903055555555556,7.38,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
DDO013,25.039999999999996,15.904722222222222,9.04,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
AGC112521,25.282916666666665,27.323888888888888,6.52,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KK13,25.569999999999997,26.36777777777778,7.2,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KDG010,25.922500000000003,15.689722222222223,7.87,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KK14,26.17791666666667,27.28777777777778,7.2,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO245-005,26.264999999999997,-43.59805555555556,4.43,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KK15,26.673333333333332,26.80138888888889,7.2,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
IC1727,26.875416666666663,27.33111111111111,7.2,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC0672,26.971666666666664,27.433611111111112,7.2,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC01281,27.38458333333333,32.5925,4.94,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
Phoenix,27.77625,-44.44472222222222,0.44,HB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KK16,28.83583333333333,27.954166666666666,5.47,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KK17,30.041249999999998,28.8325,4.9,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC0784,30.319999999999997,28.84361111111111,4.97,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC1561,31.02083333333334,24.20777777777778,7.2,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
Cas1,31.532916666666672,69.01,3.3,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC01703,33.2325,32.814166666666665,4.19,SBF,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC0855,33.51541666666667,27.877222222222223,9.73,SBF,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
Segue 2,34.81666666666666,20.17527777777778,0.03,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC0891,35.63666666666667,42.34666666666667,9.77,SBF,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KKH11,36.145833333333336,56.01166666666666,3.0,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
[KK2000] 03,36.17791666666667,-73.51277777777777,4.1,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
DDO019,36.25083333333333,36.03777777777778,9.3,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
d0226+3325,36.720000000000006,33.426944444444445,9.3,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC0925,36.81666666666666,33.57805555555556,9.29,Cep,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
Halogas,36.833333333333336,33.958333333333336,9.3,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KKH12,36.8625,57.48777777777778,3.0,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
DDO022,38.225,38.68055555555555,9.3,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
DDO025,38.32583333333333,33.49111111111111,9.3,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
DDO024,38.42916666666667,40.528055555555554,9.8,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
MB1,38.89833333333333,59.37972222222222,3.0,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
Maffei1,39.147916666666674,59.655,3.01,FP,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO115-021,39.4375,-61.34111111111111,4.99,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
Fornax,39.977916666666665,-34.52583333333333,0.14,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
Maffei2,40.47708333333334,59.60305555555556,2.8,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC02172,40.545,43.35527777777778,9.3,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
AGC122226,41.662083333333335,27.726388888888888,8.56,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
Dw2,43.53541666666666,59.00527777777778,3.0,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
MB3,43.931666666666665,58.861666666666665,3.0,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO154-023,44.21,-54.573055555555555,5.55,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
Dw1,44.23375,58.91166666666666,2.8,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO199-007,44.51708333333333,-49.3825,6.56,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC1156,44.92666666666666,25.2375,7.8,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LV J0300+2546,45.16375,25.78222222222222,7.8,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KKH18,45.77458333333333,33.69444444444444,4.43,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO300-014,47.4075,-41.03055555555555,9.8,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO300-016,47.543749999999996,-40.003055555555555,8.8,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC1291,49.3275,-41.10805555555556,8.8,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC1313,49.564166666666665,-66.4975,4.07,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC1311,50.03083333333334,-52.184999999999995,5.2,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC02684,50.09875,17.295,6.49,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KK27,50.2625,-66.31972222222223,3.98,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC02716,51.029999999999994,17.754166666666666,6.4,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC02773,53.029583333333335,47.79361111111111,5.4,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
IC1959,53.299166666666665,-50.410555555555554,6.05,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
PGC013294,53.986666666666665,-45.19138888888889,7.98,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC1400,54.87833333333333,-18.688055555555557,24.5,SBF,indicator_candidate,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KKH22,56.23583333333333,72.06444444444445,3.5,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KK35,56.302499999999995,67.86388888888888,3.16,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
IC0342,56.70375,68.09583333333333,3.28,Cep,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC02905,59.252500000000005,16.524444444444445,5.83,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGCA086,59.95625,67.12527777777777,2.96,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
IC2038,62.225416666666675,-55.992222222222225,19.2,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC1533,62.46583333333334,-56.11833333333333,19.4,SBF,indicator_candidate,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO483-013,63.17125,-23.15888888888889,7.4,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
CamA,66.315,72.80583333333333,3.93,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC1592,67.42,-27.40861111111111,9.1,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC1569,67.70458333333333,64.84805555555555,3.06,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGCA092,68.00125,63.61388888888889,3.01,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC1560,68.20791666666666,71.88111111111111,3.45,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC1637,70.3675,-2.8580555555555556,9.29,SN,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
CamB,73.27874999999999,67.09916666666666,3.34,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC1705,73.55708333333334,-53.36138888888889,5.11,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
HIPASS J0457-42,74.24458333333334,-42.803888888888885,7.2,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC1744,74.9925,-26.026666666666667,10.0,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO486-021,75.83208333333333,-25.423055555555557,10.0,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC1800,76.60708333333334,-31.954166666666666,8.0,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGCA105,78.56291666666667,62.58083333333334,3.15,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LMC,80.89416666666668,-69.75611111111111,0.05,Cep,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC03303,81.24791666666668,4.505,7.14,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO553-046,81.77375,-20.678055555555556,5.07,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KK49,85.42291666666667,6.681666666666667,5.15,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
Orion,86.25833333333334,5.068333333333333,6.46,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
A0554+07,89.40291666666667,7.491944444444444,5.5,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KKH34,89.92166666666667,73.42750000000001,4.61,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO364-029,91.43916666666667,-33.08166666666667,7.59,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
HIPASS J0607-34,91.83208333333333,-34.20444444444445,7.4,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC2188,92.53958333333334,-34.10611111111111,7.4,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO121-020,93.97708333333334,-57.72638888888889,6.05,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LV J0616-5745,94.03833333333333,-57.765277777777776,6.0,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGCA127sat,95.22833333333334,-8.650277777777777,8.5,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGCA127,95.23208333333332,-8.495555555555555,8.5,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
WHI B0619-07,95.5575,-7.837777777777777,8.4,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO489-056,96.57083333333334,-26.265555555555554,4.99,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
HIPASS J0630+08,97.53750000000001,8.376944444444446,3.55,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC03475,97.62,39.50388888888889,20.0,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC03476,97.62166666666667,33.301944444444445,7.01,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO490-017,99.48583333333335,-25.999722222222225,4.23,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
CGMW1-260,99.50041666666665,-15.022777777777778,10.8,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC03501,99.65999999999998,49.25833333333333,15.5,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KK55,99.88708333333334,-40.72027777777778,7.65,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
Carina,100.40291666666667,-50.96611111111111,0.1,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
IC2171,101.11375000000001,-17.9325,9.9,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC2283,101.46958333333333,-18.210277777777776,10.0,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KKSG9,101.73708333333333,-17.941388888888888,10.0,mem,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KKH37,101.94083333333333,80.12388888888889,3.39,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KKH38,101.97874999999999,47.513888888888886,19.3,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC03600,103.91666666666667,39.095,7.24,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
HIZSS003,105.12208333333332,-4.208333333333334,1.67,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
FG202,106.32124999999999,-58.52055555555555,4.9,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
HIPASS J0705-20,106.4375,-20.991666666666667,7.23,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO558-011,106.73666666666666,-22.040555555555557,8.4,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC03698,107.32833333333333,44.38,7.24,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC2337,107.55666666666667,44.456944444444446,7.87,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC03755,108.46583333333334,10.521944444444445,7.41,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC03817,110.68541666666665,45.108333333333334,8.55,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
HIZSS008,111.34166666666667,-24.475277777777777,7.43,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
DDO043,112.07166666666667,40.77027777777778,5.73,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC2366,112.2275,69.20527777777778,3.19,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
HIZSS012,112.53458333333333,-22.016944444444444,7.2,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO059-001,112.83041666666666,-68.18611111111112,4.57,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
DDO044,113.54708333333332,66.88611111111112,3.19,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
AGC174585,114.04291666666666,9.986388888888888,6.1,h',excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
HIZSS014,114.09416666666667,-19.494444444444447,7.35,h,excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC2403,114.21416666666667,65.59944444444444,3.18,Cep,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
LV J0737+4724,114.36875,47.409166666666664,15.7,TF,pending_calibration_or_membership,False,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
DDO046,115.3575,40.112500000000004,6.85,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
DDO047,115.47916666666667,16.800555555555555,8.05,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
KK65,115.63,16.561111111111114,8.02,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
